hhld_id,Street,Accesspt_perstreet_hhld,Main municipality,Energy,Sectors,Approximate consumption (kWh),direction,Consumption year,Regio,Number of Access Points,access_pts_factor,accesspt_location,longitude,latitude
hhld40,HELDENPLEIN,15,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.694593300012092, 51.05257499017473]",3.694593300012092,51.05257499017473
hhld41,HELDENPLEIN,16,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.6945956445225097, 51.0525753076286]",3.6945956445225097,51.0525753076286
hhld42,HELDENPLEIN,17,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.6945979890329275, 51.05257562508246]",3.6945979890329275,51.05257562508246
hhld43,HELDENPLEIN,18,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.6946003335433453, 51.05257594253632]",3.6946003335433453,51.05257594253632
hhld44,HELDENPLEIN,19,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.694602678053763, 51.05257625999019]",3.694602678053763,51.05257625999019
hhld45,HELDENPLEIN,20,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.694605022564181, 51.05257657744405]",3.694605022564181,51.05257657744405
hhld46,HELDENPLEIN,21,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.6946073670745982, 51.05257689489792]",3.6946073670745982,51.05257689489792
hhld47,HELDENPLEIN,22,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.694609711585016, 51.05257721235178]",3.694609711585016,51.05257721235178
hhld48,HELDENPLEIN,23,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.694612056095434, 51.052577529805646]",3.694612056095434,51.052577529805646
hhld49,HELDENPLEIN,24,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.6946144006058517, 51.052577847259506]",3.6946144006058517,51.052577847259506
hhld50,HELDENPLEIN,25,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.6946167451162695, 51.052578164713374]",3.6946167451162695,51.052578164713374
hhld51,HELDENPLEIN,26,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.6946190896266873, 51.052578482167235]",3.6946190896266873,51.052578482167235
hhld52,HELDENPLEIN,27,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.694621434137105, 51.0525787996211]",3.694621434137105,51.0525787996211
hhld53,HELDENPLEIN,28,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.694623778647523, 51.05257911707496]",3.694623778647523,51.05257911707496
hhld54,HELDENPLEIN,29,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.6946261231579407, 51.05257943452883]",3.6946261231579407,51.05257943452883
hhld55,HELDENPLEIN,30,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.6946284676683585, 51.05257975198269]",3.6946284676683585,51.05257975198269
hhld56,HELDENPLEIN,31,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.6946308121787763, 51.05258006943656]",3.6946308121787763,51.05258006943656
hhld57,HELDENPLEIN,32,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.694633156689194, 51.05258038689042]",3.694633156689194,51.05258038689042
hhld58,HELDENPLEIN,33,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.694635501199612, 51.05258070434429]",3.694635501199612,51.05258070434429
hhld59,HELDENPLEIN,34,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.6946378457100293, 51.05258102179815]",3.6946378457100293,51.05258102179815
hhld60,HELDENPLEIN,35,GENT,Electricity,Malem,2081.0305797101446,Decrease,2019,Regio 1,69,1,"[3.694640190220447, 51.05258133925201]",3.694640190220447,51.05258133925201
